Region, Section, Index, State, EmptyTime, Bookmark
GJGQ,4,6,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,7,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,8,EMPTY,12/20/2019 4:01:03 PM,False
GJGQ,4,9,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,10,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,11,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,12,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,13,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,14,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,15,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,16,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,17,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,18,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,19,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,20,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,21,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,22,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,23,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,24,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,25,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,26,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,27,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,28,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,29,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,30,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,31,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,32,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,33,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,34,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,35,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,36,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,37,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,38,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,39,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,40,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,41,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,42,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,43,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,44,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,45,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,46,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,47,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,48,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,49,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,50,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,51,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,52,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,53,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,54,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,55,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,56,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,57,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,58,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,4,59,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,0,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,1,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,2,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,3,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,4,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,5,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,6,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,7,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,8,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,9,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,10,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,11,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,12,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,5,13,OCCUPIED,12/31/9999 11:59:59 PM,False
